provider_id,provider_name,specialty,city,state
P00153,Garcia Medical Group,Endocrinology,New Orleans,LA
P00154,Gonzalez Medical Group,Endocrinology,Shreveport,LA
P00155,Hernandez Medical Group,Primary Care,Baton Rouge,la
P00156,Lopez Medical Group,Internal Medicine,New Orleans,LA
P00157,Miller Medical Group,Endocrinology,Lafayette,LA
P00158,Johnson Medical Group,Primary Care,Shreveport,Louisiana
P00159,Gonzalez Medical Group,Internal Medicine,New Orleans,la
P00160,Davis Medical Group,Internal Medicine,Lake Charles,la
P00161,Miller Medical Group,Endocrinology,Baton Rouge,la
P00162,Jones Medical Group,Endocrinology,Baton Rouge,Louisiana
P00163,Lopez Medical Group,Primary Care,Baton Rouge,Louisiana
P00164,Miller Medical Group,Nephrology,Lake Charles,LA
P00165,Davis Medical Group,Endocrinology,Shreveport,LA
P00166,Lopez Medical Group,Cardiology,Baton Rouge,LA
P00167,Gonzalez Medical Group,Internal Medicine,Lake Charles,LA
P00168,Jones Medical Group,Internal Medicine,Shreveport,Louisiana
P00169,Davis Medical Group,Family Medicine,New Orleans,LA
P00170,Rodriguez Medical Group,Primary Care,Lake Charles,Louisiana
P00171,Williams Medical Group,Nephrology,Baton Rouge,Louisiana
P00172,Garcia Medical Group,Emergency Medicine,Baton Rouge,LA
P00173,Gonzalez Medical Group,Primary Care,Lake Charles,la
P00174,Rodriguez Medical Group,Endocrinology,Lake Charles,Louisiana
P00175,Gonzalez Medical Group,Endocrinology,Shreveport,la
P00176,Lopez Medical Group,Endocrinology,New Orleans,LA
P00177,Gonzalez Medical Group,Internal Medicine,New Orleans,la
P00178,Brown Medical Group,Cardiology,Shreveport,Louisiana
P00179,Johnson Medical Group,Internal Medicine,Lake Charles,la
P00180,Hernandez Medical Group,Internal Medicine,Lafayette,la
P00181,Jones Medical Group,Nephrology,Lafayette,la
P00182,Jones Medical Group,Cardiology,Shreveport,LA
P00183,Jones Medical Group,Emergency Medicine,Shreveport,LA
P00184,Davis Medical Group,Cardiology,Shreveport,Louisiana
P00185,Brown Medical Group,Primary Care,Lake Charles,Louisiana
P00186,Smith Medical Group,Nephrology,Baton Rouge,LA
P00187,Brown Medical Group,Endocrinology,Shreveport,la
P00188,Rodriguez Medical Group,Primary Care,Lafayette,Louisiana
P00189,Johnson Medical Group,Cardiology,New Orleans,la
P00190,Gonzalez Medical Group,Emergency Medicine,Lafayette,LA
P00191,Davis Medical Group,Endocrinology,Lake Charles,Louisiana
P00192,Martinez Medical Group,Nephrology,Shreveport,Louisiana
P00193,Lopez Medical Group,Primary Care,New Orleans,Louisiana
P00194,Johnson Medical Group,Cardiology,New Orleans,Louisiana
P00195,Rodriguez Medical Group,Nephrology,Baton Rouge,LA
P00196,Miller Medical Group,Cardiology,Lafayette,LA
P00197,Brown Medical Group,Cardiology,Lake Charles,LA
P00198,Miller Medical Group,Endocrinology,Lafayette,Louisiana
P00199,Davis Medical Group,Nephrology,New Orleans,la
P00200,Jones Medical Group,Family Medicine,Lake Charles,la
P00201,Smith Medical Group,Emergency Medicine,Baton Rouge,la
P00202,Williams Medical Group,Primary Care,Baton Rouge,Louisiana
P00203,Martinez Medical Group,Internal Medicine,Shreveport,Louisiana
P00204,Lopez Medical Group,Internal Medicine,Lake Charles,la
P00205,Davis Medical Group,Nephrology,Baton Rouge,LA
P00206,Hernandez Medical Group,Internal Medicine,Shreveport,Louisiana
P00207,Miller Medical Group,Family Medicine,Shreveport,Louisiana
P00208,Davis Medical Group,Internal Medicine,Lafayette,Louisiana
P00209,Martinez Medical Group,Family Medicine,Lafayette,la
P00210,Rodriguez Medical Group,Family Medicine,Lafayette,la
P00211,Hernandez Medical Group,Family Medicine,Baton Rouge,Louisiana
P00212,Davis Medical Group,Internal Medicine,Lake Charles,Louisiana
P00213,Smith Medical Group,Family Medicine,Lake Charles,la
P00214,Lopez Medical Group,Family Medicine,Lake Charles,Louisiana
P00215,Hernandez Medical Group,Endocrinology,Baton Rouge,la
P00216,Hernandez Medical Group,Family Medicine,Lake Charles,Louisiana
P00217,Brown Medical Group,Family Medicine,Lafayette,Louisiana
P00218,Johnson Medical Group,Primary Care,Baton Rouge,LA
P00219,Miller Medical Group,Endocrinology,New Orleans,LA
P00220,Rodriguez Medical Group,Family Medicine,Lafayette,LA
P00221,Martinez Medical Group,Cardiology,Lafayette,Louisiana
P00222,Lopez Medical Group,Nephrology,New Orleans,la
P00223,Davis Medical Group,Cardiology,New Orleans,la
P00224,Miller Medical Group,Family Medicine,Lafayette,Louisiana
P00225,Lopez Medical Group,Emergency Medicine,Lafayette,LA
P00226,Hernandez Medical Group,Family Medicine,New Orleans,LA
P00227,Garcia Medical Group,Cardiology,Shreveport,la
P00228,Lopez Medical Group,Internal Medicine,Lake Charles,Louisiana
P00229,Jones Medical Group,Internal Medicine,Lake Charles,LA
P00230,Gonzalez Medical Group,Emergency Medicine,New Orleans,Louisiana
P00231,Garcia Medical Group,Cardiology,Shreveport,la
P00232,Williams Medical Group,Primary Care,Baton Rouge,LA
P00233,Rodriguez Medical Group,Internal Medicine,Lafayette,LA
P00234,Jones Medical Group,Emergency Medicine,Lafayette,Louisiana
P00235,Davis Medical Group,Emergency Medicine,Baton Rouge,la
P00236,Williams Medical Group,Emergency Medicine,New Orleans,LA
P00237,Hernandez Medical Group,Internal Medicine,Lake Charles,LA
P00238,Gonzalez Medical Group,Primary Care,Lafayette,Louisiana
P00239,Davis Medical Group,Emergency Medicine,Lafayette,Louisiana
P00240,Jones Medical Group,Internal Medicine,Lafayette,Louisiana
P00241,Rodriguez Medical Group,Emergency Medicine,New Orleans,LA
P00242,Gonzalez Medical Group,Family Medicine,Lake Charles,la
P00243,Martinez Medical Group,Emergency Medicine,Shreveport,la
P00244,Davis Medical Group,Endocrinology,Lake Charles,Louisiana
P00245,Garcia Medical Group,Endocrinology,Shreveport,la
P00246,Johnson Medical Group,Endocrinology,Lafayette,LA
P00247,Davis Medical Group,Endocrinology,Baton Rouge,la
P00248,Gonzalez Medical Group,Internal Medicine,Lake Charles,Louisiana
P00249,Smith Medical Group,Cardiology,Shreveport,LA
P00250,Williams Medical Group,Endocrinology,Lafayette,la
P00251,Davis Medical Group,Family Medicine,Baton Rouge,LA
P00252,Williams Medical Group,Family Medicine,Baton Rouge,LA
P00253,Gonzalez Medical Group,Emergency Medicine,Lafayette,la
P00254,Rodriguez Medical Group,Primary Care,Baton Rouge,la
P00255,Rodriguez Medical Group,Cardiology,Baton Rouge,Louisiana
P00256,Hernandez Medical Group,Nephrology,New Orleans,LA
P00257,Martinez Medical Group,Emergency Medicine,Lafayette,Louisiana
P00258,Garcia Medical Group,Cardiology,New Orleans,LA
P00259,Davis Medical Group,Family Medicine,Lake Charles,LA
P00260,Williams Medical Group,Emergency Medicine,Baton Rouge,LA
P00261,Lopez Medical Group,Family Medicine,Lake Charles,LA
P00262,Hernandez Medical Group,Endocrinology,New Orleans,la
P00263,Hernandez Medical Group,Emergency Medicine,Lake Charles,LA
P00264,Brown Medical Group,Primary Care,Shreveport,LA
P00265,Smith Medical Group,Internal Medicine,New Orleans,la
P00266,Hernandez Medical Group,Emergency Medicine,Shreveport,LA
P00267,Jones Medical Group,Primary Care,Lake Charles,LA
P00268,Miller Medical Group,Cardiology,Baton Rouge,la
P00269,Jones Medical Group,Primary Care,New Orleans,LA
P00270,Johnson Medical Group,Internal Medicine,Lafayette,LA
P00271,Williams Medical Group,Cardiology,Baton Rouge,LA
P00272,Hernandez Medical Group,Family Medicine,Lafayette,Louisiana
P00273,Lopez Medical Group,Internal Medicine,New Orleans,LA
P00274,Johnson Medical Group,Primary Care,Lafayette,LA
P00275,Williams Medical Group,Endocrinology,Lafayette,Louisiana
P00276,Gonzalez Medical Group,Emergency Medicine,Baton Rouge,LA
P00277,Martinez Medical Group,Internal Medicine,Lafayette,Louisiana
P00278,Rodriguez Medical Group,Cardiology,Lake Charles,LA
P00279,Jones Medical Group,Endocrinology,Shreveport,LA
P00280,Garcia Medical Group,Primary Care,Lafayette,LA
P00281,Johnson Medical Group,Family Medicine,New Orleans,Louisiana
P00282,Johnson Medical Group,Nephrology,Baton Rouge,LA
P00283,Lopez Medical Group,Emergency Medicine,Baton Rouge,Louisiana
P00284,Martinez Medical Group,Cardiology,Lafayette,Louisiana
P00285,Williams Medical Group,Primary Care,Baton Rouge,la
P00286,Martinez Medical Group,Nephrology,Lake Charles,Louisiana
P00287,Jones Medical Group,Family Medicine,Lafayette,Louisiana
P00288,Rodriguez Medical Group,Primary Care,New Orleans,Louisiana
P00289,Brown Medical Group,Family Medicine,New Orleans,LA
P00290,Lopez Medical Group,Family Medicine,Lake Charles,Louisiana
P00291,Jones Medical Group,Family Medicine,Baton Rouge,Louisiana
P00292,Martinez Medical Group,Nephrology,Lake Charles,Louisiana
P00293,Johnson Medical Group,Nephrology,Shreveport,LA
P00294,Smith Medical Group,Family Medicine,Baton Rouge,Louisiana
P00295,Hernandez Medical Group,Family Medicine,Baton Rouge,LA
P00296,Garcia Medical Group,Cardiology,Lafayette,Louisiana
P00297,Johnson Medical Group,Emergency Medicine,Shreveport,Louisiana
P00298,Davis Medical Group,Primary Care,Baton Rouge,Louisiana
P00299,Jones Medical Group,Primary Care,Baton Rouge,la
P00300,Hernandez Medical Group,Emergency Medicine,Lake Charles,Louisiana
P00301,Williams Medical Group,Emergency Medicine,Baton Rouge,la
P00302,Jones Medical Group,Family Medicine,New Orleans,la
P00303,Williams Medical Group,Family Medicine,Baton Rouge,Louisiana
P00304,Smith Medical Group,Internal Medicine,Lake Charles,LA
P00305,Hernandez Medical Group,Endocrinology,Shreveport,LA
P00306,Miller Medical Group,Emergency Medicine,New Orleans,LA
P00307,Hernandez Medical Group,Family Medicine,Lake Charles,LA
P00308,Martinez Medical Group,Nephrology,Lafayette,la
P00309,Hernandez Medical Group,Family Medicine,Lafayette,LA
P00310,Lopez Medical Group,Family Medicine,New Orleans,la
P00311,Garcia Medical Group,Nephrology,Shreveport,Louisiana
P00312,Lopez Medical Group,Primary Care,Shreveport,la
P00313,Johnson Medical Group,Endocrinology,Shreveport,Louisiana
P00314,Jones Medical Group,Emergency Medicine,New Orleans,Louisiana
P00315,Smith Medical Group,Primary Care,Lafayette,LA
P00316,Garcia Medical Group,Internal Medicine,Shreveport,LA
P00317,Garcia Medical Group,Emergency Medicine,Lafayette,LA
P00318,Hernandez Medical Group,Family Medicine,Lafayette,la
P00319,Gonzalez Medical Group,Family Medicine,Lake Charles,la
P00320,Gonzalez Medical Group,Primary Care,Shreveport,Louisiana
P00321,Brown Medical Group,Primary Care,Shreveport,Louisiana
P00322,Miller Medical Group,Emergency Medicine,Lake Charles,Louisiana
P00323,Davis Medical Group,Internal Medicine,Shreveport,LA
P00324,Martinez Medical Group,Endocrinology,Baton Rouge,Louisiana
P00325,Hernandez Medical Group,Endocrinology,Lafayette,Louisiana
P00326,Lopez Medical Group,Cardiology,New Orleans,LA
P00327,Jones Medical Group,Primary Care,Lafayette,la
P00328,Gonzalez Medical Group,Primary Care,Shreveport,la
P00329,Gonzalez Medical Group,Internal Medicine,New Orleans,la
P00330,Hernandez Medical Group,Primary Care,Baton Rouge,la
P00331,Gonzalez Medical Group,Nephrology,Lafayette,LA
P00332,Garcia Medical Group,Emergency Medicine,Lake Charles,la
P00333,Rodriguez Medical Group,Primary Care,Lake Charles,LA
P00334,Miller Medical Group,Primary Care,New Orleans,la
P00335,Hernandez Medical Group,Family Medicine,Lake Charles,Louisiana
P00336,Williams Medical Group,Family Medicine,Shreveport,Louisiana
P00337,Johnson Medical Group,Cardiology,Shreveport,LA
P00338,Garcia Medical Group,Family Medicine,Shreveport,la
P00339,Martinez Medical Group,Emergency Medicine,Shreveport,Louisiana
P00340,Johnson Medical Group,Emergency Medicine,Shreveport,LA
P00341,Martinez Medical Group,Primary Care,Lafayette,la
P00342,Martinez Medical Group,Internal Medicine,Baton Rouge,la
P00343,Brown Medical Group,Endocrinology,New Orleans,la
P00344,Brown Medical Group,Endocrinology,Lake Charles,la
P00345,Brown Medical Group,Primary Care,Lake Charles,Louisiana
P00346,Williams Medical Group,Nephrology,Lake Charles,la
P00347,Rodriguez Medical Group,Internal Medicine,Lafayette,LA
P00348,Johnson Medical Group,Primary Care,Lafayette,LA
P00349,Rodriguez Medical Group,Cardiology,Lafayette,LA
P00350,Hernandez Medical Group,Cardiology,Shreveport,la
P00351,Garcia Medical Group,Internal Medicine,Lake Charles,LA
P00352,Brown Medical Group,Cardiology,New Orleans,LA
P00353,Garcia Medical Group,Internal Medicine,New Orleans,la
P00354,Garcia Medical Group,Family Medicine,Lake Charles,la
P00355,Johnson Medical Group,Internal Medicine,Shreveport,Louisiana
P00356,Jones Medical Group,Family Medicine,Lafayette,Louisiana
P00357,Gonzalez Medical Group,Cardiology,Baton Rouge,la
P00358,Jones Medical Group,Emergency Medicine,New Orleans,Louisiana
P00359,Lopez Medical Group,Internal Medicine,Lafayette,Louisiana
P00360,Smith Medical Group,Internal Medicine,New Orleans,la
P00361,Garcia Medical Group,Cardiology,New Orleans,Louisiana
P00362,Johnson Medical Group,Endocrinology,Lake Charles,LA
P00363,Johnson Medical Group,Emergency Medicine,Baton Rouge,la
P00364,Lopez Medical Group,Internal Medicine,New Orleans,Louisiana
P00365,Jones Medical Group,Cardiology,Lafayette,LA
P00366,Rodriguez Medical Group,Endocrinology,Lafayette,Louisiana
P00367,Hernandez Medical Group,Internal Medicine,New Orleans,Louisiana
P00368,Rodriguez Medical Group,Nephrology,New Orleans,LA
P00369,Davis Medical Group,Internal Medicine,Shreveport,Louisiana
P00370,Brown Medical Group,Primary Care,New Orleans,Louisiana
P00371,Garcia Medical Group,Emergency Medicine,New Orleans,LA
P00372,Martinez Medical Group,Emergency Medicine,New Orleans,la
P00373,Rodriguez Medical Group,Family Medicine,Shreveport,Louisiana
P00374,Jones Medical Group,Primary Care,Shreveport,LA
P00375,Rodriguez Medical Group,Internal Medicine,Lafayette,Louisiana
P00376,Hernandez Medical Group,Primary Care,Baton Rouge,Louisiana
P00377,Garcia Medical Group,Family Medicine,Lake Charles,LA
P00378,Garcia Medical Group,Primary Care,Lafayette,LA
P00379,Johnson Medical Group,Emergency Medicine,Lake Charles,Louisiana
P00380,Lopez Medical Group,Cardiology,Shreveport,LA
P00381,Brown Medical Group,Primary Care,Baton Rouge,la
P00382,Miller Medical Group,Cardiology,New Orleans,la
P00383,Brown Medical Group,Family Medicine,Shreveport,LA
P00384,Smith Medical Group,Primary Care,New Orleans,Louisiana
P00385,Brown Medical Group,Endocrinology,New Orleans,Louisiana
P00386,Smith Medical Group,Primary Care,New Orleans,la
P00387,Jones Medical Group,Primary Care,Shreveport,Louisiana
P00388,Hernandez Medical Group,Cardiology,New Orleans,Louisiana
P00389,Miller Medical Group,Internal Medicine,New Orleans,LA
P00390,Jones Medical Group,Nephrology,Shreveport,LA
P00391,Garcia Medical Group,Internal Medicine,Lafayette,Louisiana
P00392,Rodriguez Medical Group,Endocrinology,Lake Charles,la
P00393,Gonzalez Medical Group,Endocrinology,New Orleans,la
P00394,Davis Medical Group,Cardiology,Baton Rouge,Louisiana
P00395,Miller Medical Group,Primary Care,Shreveport,la
P00396,Miller Medical Group,Family Medicine,Shreveport,la
P00397,Davis Medical Group,Nephrology,New Orleans,LA
P00398,Miller Medical Group,Endocrinology,Lafayette,la
P00399,Garcia Medical Group,Cardiology,Lake Charles,la
P00400,Johnson Medical Group,Nephrology,Baton Rouge,LA
P00401,Smith Medical Group,Nephrology,Lake Charles,la
P00402,Davis Medical Group,Internal Medicine,Shreveport,Louisiana
P00403,Brown Medical Group,Internal Medicine,Lafayette,la
P00404,Martinez Medical Group,Family Medicine,Shreveport,LA
P00405,Brown Medical Group,Cardiology,New Orleans,LA
P00406,Miller Medical Group,Internal Medicine,Lafayette,Louisiana
P00407,Garcia Medical Group,Primary Care,New Orleans,la
P00408,Williams Medical Group,Family Medicine,Lake Charles,LA
P00409,Davis Medical Group,Internal Medicine,New Orleans,la
P00410,Davis Medical Group,Family Medicine,New Orleans,LA
P00411,Davis Medical Group,Family Medicine,Lafayette,LA
P00412,Lopez Medical Group,Endocrinology,Shreveport,Louisiana
P00413,Smith Medical Group,Primary Care,Baton Rouge,la
P00414,Rodriguez Medical Group,Nephrology,Shreveport,la
P00415,Gonzalez Medical Group,Family Medicine,Baton Rouge,la
P00416,Brown Medical Group,Cardiology,New Orleans,LA
P00417,Brown Medical Group,Cardiology,Lake Charles,Louisiana
P00418,Gonzalez Medical Group,Primary Care,Shreveport,Louisiana
P00419,Lopez Medical Group,Emergency Medicine,New Orleans,la
P00420,Martinez Medical Group,Family Medicine,Lake Charles,Louisiana
P00421,Hernandez Medical Group,Primary Care,Shreveport,LA
P00422,Rodriguez Medical Group,Emergency Medicine,New Orleans,la
P00423,Jones Medical Group,Internal Medicine,Shreveport,la
P00424,Smith Medical Group,Internal Medicine,New Orleans,la
P00425,Miller Medical Group,Cardiology,Shreveport,LA
P00426,Brown Medical Group,Emergency Medicine,Shreveport,LA
P00427,Hernandez Medical Group,Endocrinology,New Orleans,LA
P00428,Rodriguez Medical Group,Emergency Medicine,Shreveport,la
P00429,Williams Medical Group,Endocrinology,Shreveport,LA
P00430,Martinez Medical Group,Family Medicine,Lafayette,LA
P00431,Davis Medical Group,Endocrinology,Shreveport,la
P00432,Lopez Medical Group,Cardiology,Shreveport,la
P00433,Davis Medical Group,Endocrinology,Lake Charles,LA
P00434,Miller Medical Group,Family Medicine,Baton Rouge,la
P00435,Williams Medical Group,Nephrology,Shreveport,LA
P00436,Gonzalez Medical Group,Family Medicine,Lafayette,la
P00437,Garcia Medical Group,Family Medicine,Shreveport,la
P00438,Johnson Medical Group,Cardiology,Shreveport,Louisiana
P00439,Miller Medical Group,Nephrology,New Orleans,Louisiana
P00440,Gonzalez Medical Group,Family Medicine,Shreveport,Louisiana
P00441,Johnson Medical Group,Nephrology,New Orleans,LA
P00442,Williams Medical Group,Endocrinology,Shreveport,LA
P00443,Lopez Medical Group,Family Medicine,Lafayette,LA
P00444,Jones Medical Group,Emergency Medicine,Lake Charles,Louisiana
P00445,Jones Medical Group,Emergency Medicine,New Orleans,Louisiana
